file name A,file name B,esn type,number datasets,feedback,test/train,loss
08-09-2021_23-09-43,,mega_ABA,50,yes,train,0.33084929356214654
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,train,1.1315866332229652
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,train,1.116181600714085
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,train,1.3706648725175048
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,train,0.9560369207830739
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,train,1.2321688089343499
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,train,1.0680427411063333
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.39313537333494114
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.067444347176385
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.0424134612771898
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.3192753125106762
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.8841905901342239
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.2306422619441606
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.0045728755271248
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.647093844740248
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.7655463126029839
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.7308324663952638
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.0292737435665766
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.5925691647563491
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.1020392836609143
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.7096721108491026
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.4837227348932828
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.9581646729117077
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.9171868775263474
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.2628385966874567
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.741627348518455
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.2579521602068773
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.8880233619224048
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.40563976933874374
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.1281362489777127
